Lasagna,This is how you make a lasagna: I don't know,35min,true,-> Moderate
Delicious Risotto,This is how you make a delicious risotto: I don't know,45min,true,-> Easy
Vegan Zucchini Chips,/recipes/recipe_vegan-zucchini-chips_344771.aspx,66 min,true,-> Very easy
Chocolate Religieuse,/recipes/recipe_chocolate-religieuse_345341.aspx,131 min,false,-> Moderate
Salmon and Avocado Tartare,/recipes/recipe_salmon-and-avocado-tartare_344727.aspx,10 min,true,-> Easy
Cream of asparagus soup,/recipes/recipe_cream-of-asparagus-soup_341638.aspx,25 min,false,-> Very easy
Creamy Coconut Flan,/recipes/recipe_creamy-coconut-flan_345620.aspx,55 min,false,-> Very easy
pasta,lalala,15 min,false,""
Tuna Rillettes,/recipes/recipe_tuna-rillettes_342081.aspx,15 min,false,""
Chocolate fondant,/recipes/recipe_chocolate-fondant_340874.aspx,45 min,false,""
